dim_0,dim_1,epoch,character
0.43715855,0.37006116,0, 
1.581573,-0.15563968,0,e
0.15109134,-1.3494922,0,t
-0.70894444,-0.24338225,0,a
-0.03887383,1.0809844,0,o
0.90879077,0.07887426,0,h
-0.08952116,0.17137258,0,n
-0.15746896,1.9800397,0,i
0.75730693,-0.42737582,0,s
-1.5917616,-0.07361122,0,r
-1.9979472,0.09059091,0,d
0.982176,0.068138056,0,l
-0.099556625,0.80334395,0,u
1.044137,-0.52012765,0,m
0.8058817,1.0866966,0,f
0.25927034,1.8513728,0,w
1.2093186,1.5929683,0,c
0.5640138,-0.67491984,0,","
0.09141378,0.39475566,0,g
1.5457106,-0.3609607,0,y
-0.27226248,0.62785715,0,p
-1.9770651,0.3020163,0,b
-1.0226368,-0.74714863,0,v
-0.5051301,0.463584,0,k
0.07122035,-1.2177619,0,I
1.0489852,-0.98672557,0,.
0.62634057,-1.739613,0,;
-1.1493645,-0.8489328,0,T
0.6009858,-1.5412188,0,“
1.0329226,-0.88129884,0,”
0.3829615,1.4596353,0,S
1.0305423,0.8792528,0,D
0.32856736,-0.07420263,0,x
0.14140484,-1.2538061,0,A
-0.95538443,1.0691961,0,E
1.1713247,-0.24828395,0,H
0.0063628894,0.23263441,0,’
0.95270425,-0.4139321,0,O
1.1716223,1.6208951,0,Q
0.77475804,-0.23497157,0,C
-0.27529785,-0.13301833,0,R
0.026622228,0.23825394,0,N
0.43962663,-1.159601,0,-
0.09952423,1.708459,0,j
1.8984557,-0.6291782,0,L
-0.21173386,-1.9887606,0,q
0.360546,-1.2416636,0,M
-1.3239378,0.9785103,0,F
-0.72841054,0.37546638,0,W
-0.19037521,0.8099748,0,G
0.92984736,0.18676199,0,P
0.5845764,0.30416635,0,B
1.4423637,1.34799,0,z
0.97064185,-0.7726748,0,?
-1.0799946,-0.31432408,0,U
-0.73074937,0.44381624,0,ñ
-0.33503342,-1.1513637,0,!
-0.34511393,-1.8816324,0,K
1.871529,-0.24930508,0,(
0.1050206,-0.7197165,0,)
0.0046193795,-0.21361813,0,V
-0.32706302,-1.445109,0,X
1.6749991,-0.90744305,0,‘
-0.4968179,1.0563092,0,1
1.4613357,-0.07701435,0,—
-1.0376238,0.07800276,0,Y
0.06841987,-0.90691733,0,:
0.75574744,0.72678375,0,3
-0.95677423,-1.1259103,0,2
0.0,0.0,0,~
0.6157713,1.8976377,1, 
-0.116722226,0.08875306,1,e
1.4603887,-1.1702149,1,t
-0.43755248,1.0315742,1,a
-1.0286295,0.10445635,1,o
1.3993005,0.0049270336,1,h
0.6939586,0.0049758567,1,n
-1.3728905,1.3758178,1,i
1.2946767,-0.63842255,1,s
-1.3918643,-0.254395,1,r
-1.2763524,-0.4463465,1,d
0.36632025,0.40004337,1,l
-0.3447471,0.8009511,1,u
0.916912,0.51548016,1,m
1.0467877,-0.36318094,1,f
1.6174864,-0.6155808,1,w
1.9515376,-0.42064512,1,c
0.28487808,-1.2533116,1,","
1.8399587,-0.28366923,1,g
0.5467154,-0.31691238,1,y
0.40359762,0.85376835,1,p
-1.5209386,-0.07602296,1,b
-1.9872738,-0.21133383,1,v
-1.2695794,-0.13306053,1,k
-0.2996126,-0.9122913,1,I
-0.47780284,-1.9420875,1,.
0.2351261,-1.6530468,1,;
-1.7491058,-0.96986014,1,T
-1.0868219,-0.9317771,1,“
0.859433,-1.0664543,1,”
0.81076556,1.2973523,1,S
0.4602885,-0.50203496,1,D
0.21036161,1.0271425,1,x
-0.4924887,-0.4476997,1,A
-0.897571,-0.94605273,1,E
-1.8477445,-0.76448846,1,H
-0.68608767,-0.102626376,1,’
-0.42978436,-0.77953094,1,O
0.30944785,-0.23133446,1,Q
-1.46155,-0.83594555,1,C
-1.1719776,-0.5998269,1,R
-1.458332,-0.8016358,1,N
0.8322374,1.3899068,1,-
0.8623847,0.72198683,1,j
0.4761296,0.5947572,1,L
-1.290839,-0.24524476,1,q
-1.385607,-0.750725,1,M
-1.0983245,-0.72231513,1,F
-1.7740686,-0.9198338,1,W
0.009307604,-0.09267355,1,G
-1.2074486,-0.7746702,1,P
0.21515651,0.30027372,1,B
1.1237631,0.4814759,1,z
-0.07790194,-1.7258633,1,?
-1.0811657,-0.98618406,1,U
1.8716601,-0.15966383,1,ñ
0.060985833,-1.232366,1,!
-0.7988052,-0.69618464,1,K
0.8386378,1.6359898,1,(
0.9116198,-0.8729779,1,)
-1.8908471,-0.6386151,1,V
-1.1924983,-1.1631352,1,X
-1.0915139,-0.8907048,1,‘
0.014663707,0.3467189,1,1
0.8619281,1.780024,1,—
-1.2763871,-0.6449131,1,Y
-0.6186127,-1.4828832,1,:
0.0797092,0.15079549,1,3
0.3083992,0.24716938,1,2
0.0,0.0,1,~
0.449253,1.9488897,2, 
-0.1313064,0.03010405,2,e
1.3545268,-1.2238952,2,t
-0.4720709,1.0276767,2,a
-0.86667717,0.15166245,2,o
1.1880593,0.017375715,2,h
0.5591141,-0.08539817,2,n
-1.3542877,1.3659012,2,i
1.1823493,-0.6049995,2,s
-1.302342,-0.2540298,2,r
-1.1817108,-0.389251,2,d
0.2619425,0.31458068,2,l
-0.42950627,0.7881879,2,u
0.64477843,0.5510687,2,m
0.81989795,-0.3484836,2,f
1.6919463,-0.729507,2,w
1.9753968,-0.31274086,2,c
0.131679,-1.3359505,2,","
1.861372,-0.2408167,2,g
0.3532515,-0.2873606,2,y
0.3224419,0.87097704,2,p
-1.394498,0.02520424,2,b
-1.9127243,-0.09377521,2,v
-1.0649219,-0.05786067,2,k
-0.36197242,-1.0138915,2,I
-0.54978883,-1.8547359,2,.
0.16370064,-1.6416206,2,;
-1.7353942,-0.92986053,2,T
-1.0133156,-0.9561769,2,“
0.6482107,-1.1734862,2,”
0.711894,1.1724364,2,S
0.36936602,-0.5546399,2,D
0.085277535,1.0647931,2,x
-0.5418843,-0.6517162,2,A
-0.9779652,-0.8190995,2,E
-1.5937525,-0.6038868,2,H
-0.5253556,-0.14602861,2,’
-0.4856622,-0.696268,2,O
0.16359155,-0.28507897,2,Q
-1.5760248,-0.8402245,2,C
-1.1409165,-0.6479121,2,R
-1.3720074,-0.8413607,2,N
0.519318,1.3800536,2,-
0.8931688,0.57854515,2,j
0.15124281,0.24842235,2,L
-1.146031,-0.05856973,2,q
-1.2971947,-0.7876887,2,M
-1.1657684,-0.2678312,2,F
-1.763673,-0.8234017,2,W
-0.043384627,0.0014275734,2,G
-1.3272108,-0.7555989,2,P
0.15793131,0.30706638,2,B
1.2873105,0.329478,2,z
-0.33564788,-1.9083902,2,?
-0.81266457,-1.0098447,2,U
1.987005,-0.21039608,2,ñ
-0.14759094,-1.222126,2,!
-1.0686032,-0.71197456,2,K
0.43581778,1.7406127,2,(
0.9337111,-1.1703988,2,)
-1.2709053,-0.5870711,2,V
-1.3712682,-1.3756908,2,X
-1.3259797,-0.97135526,2,‘
0.036128342,0.3817499,2,1
0.32599777,1.7250131,2,—
-1.366834,-0.6772102,2,Y
-0.3087353,-1.475308,2,:
0.20048761,0.29998437,2,3
0.10162408,0.2661828,2,2
0.0,0.0,2,~
0.35859185,1.9349122,3, 
-0.14686063,0.042347327,3,e
1.2360834,-1.1222256,3,t
-0.46356127,1.0178837,3,a
-0.8613089,0.13639683,3,o
1.2446414,0.07233526,3,h
0.433588,-0.1448533,3,n
-1.2739552,1.4559438,3,i
1.1818391,-0.6225449,3,s
-1.2909069,-0.25594497,3,r
-1.1479657,-0.4476025,3,d
0.19552416,0.37353793,3,l
-0.35392618,0.9400974,3,u
0.5475639,0.50990593,3,m
0.83560747,-0.35473588,3,f
1.6399047,-0.92949,3,w
1.9806641,-0.27252853,3,c
0.09931991,-1.3201399,3,","
1.7278559,-0.3152452,3,g
0.33220547,-0.4436446,3,y
0.2867386,0.934974,3,p
-1.226384,-0.10258852,3,b
-1.9995648,-0.04171423,3,v
-1.0789657,-0.19815038,3,k
-0.23332757,-0.95291895,3,I
-0.88776463,-1.7921702,3,.
0.17861083,-1.5774068,3,;
-1.4693182,-1.0729084,3,T
-1.1072303,-1.0812095,3,“
0.6232138,-0.8430749,3,”
0.6036542,0.94203705,3,S
0.282645,-0.6123341,3,D
